"id","confidence_level","confidence_value","order"
10010,"lower_CI",7.8,773
10010,"upper_CI",18.6,99226
10011,"lower_CI",4.8,775
10011,"upper_CI",14.3,99224
10012,"lower_CI",5.3,777
10012,"upper_CI",15.8,99222
10013,"lower_CI",1.7,779
10013,"upper_CI",24.4,99220
10014,"lower_CI",0,781
10014,"upper_CI",20.7,99218
10015,"lower_CI",7.4,783
10015,"upper_CI",14.8,99216
10016,"lower_CI",0.9,785
10016,"upper_CI",9.5,99214
10017,"lower_CI",2.3,787
10017,"upper_CI",8.9,99212
10018,"lower_CI",0,789
10018,"upper_CI",33.1,99210
10019,"lower_CI",3.5,791
10019,"upper_CI",14.7,99208
10020,"lower_CI",7.6,793
10020,"upper_CI",19.6,99206
10021,"lower_CI",7.2,795
10021,"upper_CI",18.6,99204
10022,"lower_CI",1.3,797
10022,"upper_CI",10.8,99202
10023,"lower_CI",3.4,799
10023,"upper_CI",27.6,99200
10024,"lower_CI",8.2,801
10024,"upper_CI",19.4,99198
10025,"lower_CI",5.8,803
10025,"upper_CI",14.3,99196
10026,"lower_CI",7,805
10026,"upper_CI",15.3,99194
10027,"lower_CI",0.8,807
10027,"upper_CI",26.2,99192
10028,"lower_CI",0,809
10028,"upper_CI",20.7,99190
10029,"lower_CI",75.7,811
10029,"upper_CI",88.1,99188
10030,"lower_CI",75.9,813
10030,"upper_CI",100,99186
10031,"lower_CI",75.1,815
10031,"upper_CI",94,99184
10032,"lower_CI",66.3,817
10032,"upper_CI",98.2,99182
10033,"lower_CI",78,819
10033,"upper_CI",89.9,99180
10034,"lower_CI",68.4,821
10034,"upper_CI",89.8,99178
10035,"lower_CI",70,823
10035,"upper_CI",86.4,99176
10036,"lower_CI",82.9,825
10036,"upper_CI",93,99174
10037,"lower_CI",68.6,827
10037,"upper_CI",92,99172
10038,"lower_CI",68.8,829
10038,"upper_CI",82.3,99170
10039,"lower_CI",77.5,831
10039,"upper_CI",91.3,99168
10040,"lower_CI",73.8,833
10040,"upper_CI",89.3,99166
10041,"lower_CI",67.9,835
10041,"upper_CI",90.5,99164
10042,"lower_CI",73,837
10042,"upper_CI",100,99162
10043,"lower_CI",11.3,839
10043,"upper_CI",23.4,99160
10044,"lower_CI",0,841
10044,"upper_CI",24.1,99158
10045,"lower_CI",3.3,843
10045,"upper_CI",23.2,99156
10046,"lower_CI",0.6,845
10046,"upper_CI",33.3,99154
10047,"lower_CI",10,847
10047,"upper_CI",20.6,99152
10048,"lower_CI",10.1,849
10048,"upper_CI",30.8,99150
10049,"lower_CI",12.5,851
10049,"upper_CI",29.1,99148
10050,"lower_CI",6.3,853
10050,"upper_CI",15.9,99146
10051,"lower_CI",8,855
10051,"upper_CI",31.4,99144
10052,"lower_CI",16.2,857
10052,"upper_CI",29.6,99142
10053,"lower_CI",8.2,859
10053,"upper_CI",22,99140
10054,"lower_CI",10.1,861
10054,"upper_CI",25.2,99138
10055,"lower_CI",8.8,863
10055,"upper_CI",31.8,99136
10056,"lower_CI",0,865
10056,"upper_CI",22.3,99134
10057,"lower_CI",0.1,867
10057,"upper_CI",1.5,99132
10058,"lower_CI",,869
