"Cat","year","geography","FIPS_code","geo_type","geo_full_name","geo_abbreviation","cat","age","eligible90"
"CN","2015","Utah",49,"state","Utah","UT","CN","6--9","53720"
"CN","2015","Utah",49,"state","Utah","UT","CN","10--14","52478"
"CN","2015","Utah",49,"state","Utah","UT","CN","15--18","32777"
"CN","2015","Utah",49,"state","Utah","UT","CN","19--20","6259"
"MN","2015","Utah",49,"state","Utah","UT","MN","< 1","0"
"MN","2015","Utah",49,"state","Utah","UT","MN","1--2","0"
"MN","2015","Utah",49,"state","Utah","UT","MN","3--5","2"
"MN","2015","Utah",49,"state","Utah","UT","MN","6--9","5"
"MN","2015","Utah",49,"state","Utah","UT","MN","10--14","10"
"MN","2015","Utah",49,"state","Utah","UT","MN","15--18","6"
"MN","2015","Utah",49,"state","Utah","UT","MN","19--20","10"
"Total","2015","Utah",49,"state","Utah","UT","Total","< 1","16151"
"Total","2015","Utah",49,"state","Utah","UT","Total","1--2","33082"
"Total","2015","Utah",49,"state","Utah","UT","Total","3--5","41188"
"Total","2015","Utah",49,"state","Utah","UT","Total","6--9","53725"
"Total","2015","Utah",49,"state","Utah","UT","Total","10--14","52488"
"Total","2015","Utah",49,"state","Utah","UT","Total","15--18","32783"
"Total","2015","Utah",49,"state","Utah","UT","Total","19--20","6269"
"CN","2015","Texas",48,"state","Texas","TX","CN","< 1","249460"
"CN","2015","Texas",48,"state","Texas","TX","CN","1--2","439716"
"CN","2015","Texas",48,"state","Texas","TX","CN","3--5","594203"
"CN","2015","Texas",48,"state","Texas","TX","CN","6--9","797728"
"CN","2015","Texas",48,"state","Texas","TX","CN","10--14","837565"
"CN","2015","Texas",48,"state","Texas","TX","CN","15--18","525404"
"CN","2015","Texas",48,"state","Texas","TX","CN","19--20","118180"
"MN","2015","Texas",48,"state","Texas","TX","MN","< 1","23"
"MN","2015","Texas",48,"state","Texas","TX","MN","1--2","38"
"MN","2015","Texas",48,"state","Texas","TX","MN","3--5","71"
"MN","2015","Texas",48,"state","Texas","TX","MN","6--9","74"
"MN","2015","Texas",48,"state","Texas","TX","MN","10--14","89"
"MN","2015","Texas",48,"state","Texas","TX","MN","15--18","90"
"MN","2015","Texas",48,"state","Texas","TX","MN","19--20","641"
"Total","2015","Texas",48,"state","Texas","TX","Total","< 1","249483"
"Total","2015","Texas",48,"state","Texas","TX","Total","1--2","439754"
"Total","2015","Texas",48,"state","Texas","TX","Total","3--5","594274"
"Total","2015","Texas",48,"state","Texas","TX","Total","6--9","797802"
"Total","2015","Texas",48,"state","Texas","TX","Total","10--14","837654"
"Total","2015","Texas",48,"state","Texas","TX","Total","15--18","525494"
"Total","2015","Texas",48,"state","Texas","TX","Total","19--20","118821"
"CN","2015","Tennessee",47,"state","Tennessee","TN","CN","< 1","39054"
"CN","2015","Tennessee",47,"state","Tennessee","TN","CN","1--2","103063"
"CN","2015","Tennessee",47,"state","Tennessee","TN","CN","3--5","136683"
"CN","2015","Tennessee",47,"state","Tennessee","TN","CN","6--9","181555"
"CN","2015","Tennessee",47,"state","Tennessee","TN","CN","10--14","185376"
"CN","2015","Tennessee",47,"state","Tennessee","TN","CN","15--18","129682"
"CN","2015","Tennessee",47,"state","Tennessee","TN","CN","19--20","56163"
"MN","2015","Tennessee",47,"state","Tennessee","TN","MN","< 1","1"
"MN","2015","Tennessee",47,"state","Tennessee","TN","MN","1--2","95"
"MN","2015","Tennessee",47,"state","Tennessee","TN","MN","3--5","459"
"MN","2015","Tennessee",47,"state","Tennessee","TN","MN","6--9","956"
"MN","2015","Tennessee",47,"state","Tennessee","TN","MN","10--14","1648"
"MN","2015","Tennessee",47,"state","Tennessee","TN","MN","15--18","1607"
"MN","2015","Tennessee",47,"state","Tennessee","TN","MN","19--20","2560"
"Total","2015","Tennessee",47,"state","Tennessee","TN","Total","< 1","39055"
"Total","2015","Tennessee",47,"state","Tennessee","TN","Total","1--2","103158"
"Total","2015","Tennessee",47,"state","Tennessee","TN","Total","3--5","137142"
"Total","2015","Tennessee",47,"state","Tennessee","TN","Total","6--9","182511"
"Total","2015","Tennessee",47,"state","Tennessee","TN","Total","10--14","187024"
"Total","2015","Tennessee",47,"state","Tennessee","TN","Total","15--18","131289"
"Total","2015","Tennessee",47,"state","Tennessee","TN","Total","19--20","58723"
"CN","2015","South Dakota",46,"state","South Dakota","SD","CN","< 1","4713"
