"Cat","year","geography","FIPS_code","geo_type","geo_full_name","geo_abbreviation","cat","age","eligible90"
"CN","2015","South Dakota",46,"state","South Dakota","SD","CN","1--2","11180"
"CN","2015","South Dakota",46,"state","South Dakota","SD","CN","3--5","15392"
"CN","2015","South Dakota",46,"state","South Dakota","SD","CN","6--9","19986"
"CN","2015","South Dakota",46,"state","South Dakota","SD","CN","10--14","20376"
"CN","2015","South Dakota",46,"state","South Dakota","SD","CN","15--18","13161"
"CN","2015","South Dakota",46,"state","South Dakota","SD","CN","19--20","3194"
"MN","2015","South Dakota",46,"state","South Dakota","SD","MN","< 1","0"
"MN","2015","South Dakota",46,"state","South Dakota","SD","MN","1--2","0"
"MN","2015","South Dakota",46,"state","South Dakota","SD","MN","3--5","0"
"MN","2015","South Dakota",46,"state","South Dakota","SD","MN","6--9","0"
"MN","2015","South Dakota",46,"state","South Dakota","SD","MN","10--14","0"
"MN","2015","South Dakota",46,"state","South Dakota","SD","MN","15--18","0"
"MN","2015","South Dakota",46,"state","South Dakota","SD","MN","19--20","0"
"Total","2015","South Dakota",46,"state","South Dakota","SD","Total","< 1","4713"
"Total","2015","South Dakota",46,"state","South Dakota","SD","Total","1--2","11180"
"Total","2015","South Dakota",46,"state","South Dakota","SD","Total","3--5","15392"
"Total","2015","South Dakota",46,"state","South Dakota","SD","Total","6--9","19986"
"Total","2015","South Dakota",46,"state","South Dakota","SD","Total","10--14","20376"
"Total","2015","South Dakota",46,"state","South Dakota","SD","Total","15--18","13161"
"Total","2015","South Dakota",46,"state","South Dakota","SD","Total","19--20","3194"
"CN","2015","South Carolina",45,"state","South Carolina","SC","CN","< 1","31900"
"CN","2015","South Carolina",45,"state","South Carolina","SC","CN","1--2","88199"
"CN","2015","South Carolina",45,"state","South Carolina","SC","CN","3--5","120462"
"CN","2015","South Carolina",45,"state","South Carolina","SC","CN","6--9","164601"
"CN","2015","South Carolina",45,"state","South Carolina","SC","CN","10--14","170285"
"CN","2015","South Carolina",45,"state","South Carolina","SC","CN","15--18","122330"
"CN","2015","South Carolina",45,"state","South Carolina","SC","CN","19--20","42554"
"MN","2015","South Carolina",45,"state","South Carolina","SC","MN","< 1","0"
"MN","2015","South Carolina",45,"state","South Carolina","SC","MN","1--2","0"
"MN","2015","South Carolina",45,"state","South Carolina","SC","MN","3--5","0"
"MN","2015","South Carolina",45,"state","South Carolina","SC","MN","6--9","0"
"MN","2015","South Carolina",45,"state","South Carolina","SC","MN","10--14","0"
"MN","2015","South Carolina",45,"state","South Carolina","SC","MN","15--18","0"
"MN","2015","South Carolina",45,"state","South Carolina","SC","MN","19--20","0"
"Total","2015","South Carolina",45,"state","South Carolina","SC","Total","< 1","31900"
"Total","2015","South Carolina",45,"state","South Carolina","SC","Total","1--2","88199"
"Total","2015","South Carolina",45,"state","South Carolina","SC","Total","3--5","120462"
"Total","2015","South Carolina",45,"state","South Carolina","SC","Total","6--9","164601"
"Total","2015","South Carolina",45,"state","South Carolina","SC","Total","10--14","170285"
"Total","2015","South Carolina",45,"state","South Carolina","SC","Total","15--18","122330"
"Total","2015","South Carolina",45,"state","South Carolina","SC","Total","19--20","42554"
"CN","2015","Rhode Island",44,"state","Rhode Island","RI","CN","< 1","4828"
"CN","2015","Rhode Island",44,"state","Rhode Island","RI","CN","1--2","13643"
"CN","2015","Rhode Island",44,"state","Rhode Island","RI","CN","3--5","18511"
"CN","2015","Rhode Island",44,"state","Rhode Island","RI","CN","6--9","25585"
"CN","2015","Rhode Island",44,"state","Rhode Island","RI","CN","10--14","29195"
"CN","2015","Rhode Island",44,"state","Rhode Island","RI","CN","15--18","22087"
"CN","2015","Rhode Island",44,"state","Rhode Island","RI","CN","19--20","9685"
"MN","2015","Rhode Island",44,"state","Rhode Island","RI","MN","< 1","0"
"MN","2015","Rhode Island",44,"state","Rhode Island","RI","MN","1--2","0"
"MN","2015","Rhode Island",44,"state","Rhode Island","RI","MN","3--5","1"
"MN","2015","Rhode Island",44,"state","Rhode Island","RI","MN","6--9","0"
"MN","2015","Rhode Island",44,"state","Rhode Island","RI","MN","10--14","0"
"MN","2015","Rhode Island",44,"state","Rhode Island","RI","MN","15--18","24"
"MN","2015","Rhode Island",44,"state","Rhode Island","RI","MN","19--20","34"
"Total","2015","Rhode Island",44,"state","Rhode Island","RI","Total","< 1","4828"
"Total","2015","Rhode Island",44,"state","Rhode Island","RI","Total","1--2","13643"
"Total","2015","Rhode Island",44,"state","Rhode Island","RI","Total","3--5","18512"
"Total","2015","Rhode Island",44,"state","Rhode Island","RI","Total","6--9","25585"
"Total","2015","Rhode Island",44,"state","Rhode Island","RI","Total","10--14","29195"
"Total","2015","Rhode Island",44,"state","Rhode Island","RI","Total","15--18","22111"
"Total","2015","Rhode Island",44,"state","Rhode Island","RI","Total","19--20","9719"
"CN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","CN","< 1","10064"
"CN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","CN","1--2","33244"
"CN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","CN","3--5","55627"
"CN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","CN","6--9","78683"
"CN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","CN","10--14","100569"
"CN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","CN","15--18","85569"
"CN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","CN","19--20","34757"
"MN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","MN","< 1","7010"
"MN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","MN","1--2","20334"
"MN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","MN","3--5","26211"
"MN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","MN","6--9","28681"
"MN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","MN","10--14","29923"
"MN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","MN","15--18","26017"
"MN","2015","Puerto Rico",72,"territory","Puerto Rico","PR","MN","19--20","12684"
"Total","2015","Puerto Rico",72,"territory","Puerto Rico","PR","Total","< 1","17074"
"Total","2015","Puerto Rico",72,"territory","Puerto Rico","PR","Total","1--2","53578"
"Total","2015","Puerto Rico",72,"territory","Puerto Rico","PR","Total","3--5","81838"
"Total","2015","Puerto Rico",72,"territory","Puerto Rico","PR","Total","6--9","107364"
"Total","2015","Puerto Rico",72,"territory","Puerto Rico","PR","Total","10--14","130492"
"Total","2015","Puerto Rico",72,"territory","Puerto Rico","PR","Total","15--18","111586"
"Total","2015","Puerto Rico",72,"territory","Puerto Rico","PR","Total","19--20","47441"
"CN","2015","Pennsylvania",42,"state","Pennsylvania","PA","CN","< 1","53259"
"CN","2015","Pennsylvania",42,"state","Pennsylvania","PA","CN","1--2","138262"
"CN","2015","Pennsylvania",42,"state","Pennsylvania","PA","CN","3--5","195775"
"CN","2015","Pennsylvania",42,"state","Pennsylvania","PA","CN","6--9","255298"
"CN","2015","Pennsylvania",42,"state","Pennsylvania","PA","CN","10--14","278907"
"CN","2015","Pennsylvania",42,"state","Pennsylvania","PA","CN","15--18","201844"
"CN","2015","Pennsylvania",42,"state","Pennsylvania","PA","CN","19--20","89294"
"MN","2015","Pennsylvania",42,"state","Pennsylvania","PA","MN","< 1","56"
"MN","2015","Pennsylvania",42,"state","Pennsylvania","PA","MN","1--2","266"
"MN","2015","Pennsylvania",42,"state","Pennsylvania","PA","MN","3--5","442"
"MN","2015","Pennsylvania",42,"state","Pennsylvania","PA","MN","6--9","1064"
"MN","2015","Pennsylvania",42,"state","Pennsylvania","PA","MN","10--14","1795"
"MN","2015","Pennsylvania",42,"state","Pennsylvania","PA","MN","15--18","3288"
"MN","2015","Pennsylvania",42,"state","Pennsylvania","PA","MN","19--20","6958"
"Total","2015","Pennsylvania",42,"state","Pennsylvania","PA","Total","< 1","53315"
"Total","2015","Pennsylvania",42,"state","Pennsylvania","PA","Total","1--2","138528"
"Total","2015","Pennsylvania",42,"state","Pennsylvania","PA","Total","3--5","196217"
"Total","2015","Pennsylvania",42,"state","Pennsylvania","PA","Total","6--9","256362"
"Total","2015","Pennsylvania",42,"state","Pennsylvania","PA","Total","10--14","280702"
"Total","2015","Pennsylvania",42,"state","Pennsylvania","PA","Total","15--18","205132"
"Total","2015","Pennsylvania",42,"state","Pennsylvania","PA","Total","19--20","96252"
"CN","2015","Oregon",41,"state","Oregon","OR","CN","< 1","19939"
"CN","2015","Oregon",41,"state","Oregon","OR","CN","1--2","53836"
"CN","2015","Oregon",41,"state","Oregon","OR","CN","3--5","70524"
"CN","2015","Oregon",41,"state","Oregon","OR","CN","6--9","96015"
"CN","2015","Oregon",41,"state","Oregon","OR","CN","10--14","101156"
"CN","2015","Oregon",41,"state","Oregon","OR","CN","15--18","73968"
"CN","2015","Oregon",41,"state","Oregon","OR","CN","19--20","36832"
"MN","2015","Oregon",41,"state","Oregon","OR","MN","< 1","0"
"MN","2015","Oregon",41,"state","Oregon","OR","MN","1--2","0"
"MN","2015","Oregon",41,"state","Oregon","OR","MN","3--5","0"
"MN","2015","Oregon",41,"state","Oregon","OR","MN","6--9","0"
"MN","2015","Oregon",41,"state","Oregon","OR","MN","10--14","0"
"MN","2015","Oregon",41,"state","Oregon","OR","MN","15--18","0"
"MN","2015","Oregon",41,"state","Oregon","OR","MN","19--20","0"
"Total","2015","Oregon",41,"state","Oregon","OR","Total","< 1","19939"
"Total","2015","Oregon",41,"state","Oregon","OR","Total","1--2","53836"
"Total","2015","Oregon",41,"state","Oregon","OR","Total","3--5","70524"
"Total","2015","Oregon",41,"state","Oregon","OR","Total","6--9","96015"
"Total","2015","Oregon",41,"state","Oregon","OR","Total","10--14","101156"
"Total","2015","Oregon",41,"state","Oregon","OR","Total","15--18","73968"
"Total","2015","Oregon",41,"state","Oregon","OR","Total","19--20","36832"
"CN","2015","Oklahoma",40,"state","Oklahoma","OK","CN","< 1","27024"
"CN","2015","Oklahoma",40,"state","Oklahoma","OK","CN","1--2","71914"
"CN","2015","Oklahoma",40,"state","Oklahoma","OK","CN","3--5","98962"
"CN","2015","Oklahoma",40,"state","Oklahoma","OK","CN","6--9","132465"
"CN","2015","Oklahoma",40,"state","Oklahoma","OK","CN","10--14","138938"
"CN","2015","Oklahoma",40,"state","Oklahoma","OK","CN","15--18","93058"
"CN","2015","Oklahoma",40,"state","Oklahoma","OK","CN","19--20","21795"
"MN","2015","Oklahoma",40,"state","Oklahoma","OK","MN","< 1","0"
"MN","2015","Oklahoma",40,"state","Oklahoma","OK","MN","1--2","0"
"MN","2015","Oklahoma",40,"state","Oklahoma","OK","MN","3--5","0"
"MN","2015","Oklahoma",40,"state","Oklahoma","OK","MN","6--9","0"
"MN","2015","Oklahoma",40,"state","Oklahoma","OK","MN","10--14","0"
"MN","2015","Oklahoma",40,"state","Oklahoma","OK","MN","15--18","0"
"MN","2015","Oklahoma",40,"state","Oklahoma","OK","MN","19--20","0"
"Total","2015","Oklahoma",40,"state","Oklahoma","OK","Total","< 1","27024"
"Total","2015","Oklahoma",40,"state","Oklahoma","OK","Total","1--2","71914"
"Total","2015","Oklahoma",40,"state","Oklahoma","OK","Total","3--5","98962"
"Total","2015","Oklahoma",40,"state","Oklahoma","OK","Total","6--9","132465"
"Total","2015","Oklahoma",40,"state","Oklahoma","OK","Total","10--14","138938"
"Total","2015","Oklahoma",40,"state","Oklahoma","OK","Total","15--18","93058"
"Total","2015","Oklahoma",40,"state","Oklahoma","OK","Total","19--20","21795"
"CN","2015","Ohio",39,"state","Ohio","OH","CN","< 1","58183"
"CN","2015","Ohio",39,"state","Ohio","OH","CN","1--2","169122"
"CN","2015","Ohio",39,"state","Ohio","OH","CN","3--5","230011"
"CN","2015","Ohio",39,"state","Ohio","OH","CN","6--9","308962"
"CN","2015","Ohio",39,"state","Ohio","OH","CN","10--14","334371"
"CN","2015","Ohio",39,"state","Ohio","OH","CN","15--18","244856"
"CN","2015","Ohio",39,"state","Ohio","OH","CN","19--20","103873"
"MN","2015","Ohio",39,"state","Ohio","OH","MN","< 1","0"
"MN","2015","Ohio",39,"state","Ohio","OH","MN","1--2","0"
"MN","2015","Ohio",39,"state","Ohio","OH","MN","3--5","0"
"MN","2015","Ohio",39,"state","Ohio","OH","MN","6--9","0"
"MN","2015","Ohio",39,"state","Ohio","OH","MN","10--14","0"
"MN","2015","Ohio",39,"state","Ohio","OH","MN","15--18","0"
"MN","2015","Ohio",39,"state","Ohio","OH","MN","19--20","0"
"Total","2015","Ohio",39,"state","Ohio","OH","Total","< 1","58183"
"Total","2015","Ohio",39,"state","Ohio","OH","Total","1--2","169122"
"Total","2015","Ohio",39,"state","Ohio","OH","Total","3--5","230011"
"Total","2015","Ohio",39,"state","Ohio","OH","Total","6--9","308962"
"Total","2015","Ohio",39,"state","Ohio","OH","Total","10--14","334371"
