provider_language_id,provider_id,language
4379,1089660, Mandarin
4381,1090461,Spanish
4382,1090035,Spanish
4384,1090035,Persian
4385,1090035, Korean
4387,1090724,Spanish
4389,1090725,Persian
4390,1090725, Hindi
4391,1090725, Indian
4393,1090298,Spanish
4395,1091055,Spanish
4398,1091088,Arabic
4399,1091088, Spanish
4401,1091088, Persian
4403,1090636,Chinese
4404,1090636, Mandarin
4405,1091005,Chinese
4406,1091005, Mandarin
4408,1091005,Persian
4409,1091005, Spanish
4410,1091005,Mandarin
4411,1091005, Navajo
4413,1091079,Russian
4414,1091079, Spanish
4415,1091079,Spanish
4417,1090004,French
4418,1090004, Hindi
4419,1090004, Indian
4421,1089714,Hindi
4422,1089714, Indian
4423,1089714, Spanish
4425,1089714,Spanish
4426,1090502,Chinese
4427,1090502, Persian
4429,1090502,Spanish
4430,1090144,Spanish
4432,1090310,French
4434,1090310,Hindi
4435,1090310, Indian
4436,1090310, Korean
4437,1090310,Spanish
4438,1090310, Hindi
4439,1089702,French
4441,1089702, Hindi
4442,1089702, Indian
4444,1090412,Spanish
4446,1089822,Spanish
4448,1089822,Russian
4449,1089822, Spanish
4452,1090050,Spanish
4453,1090887,French
4454,1090887, Navajo
4456,1090887, Spanish
4457,1090887,Arabic
4458,1090887, Armenian
4459,1090224,Spanish
4461,1090224,Arabic
4462,1090224, Hindi
4463,1090224, Indian
4464,1090464,Spanish
4466,1090464,Persian
4467,1090464, Russian
4468,1090834,Spanish
4471,1090160,Spanish
4472,1089712,Spanish
4474,1089712,Persian
4475,1089712, Russian
4476,1090114,Spanish
4478,1090447,Spanish
4481,1090489,Spanish
4482,1090567,Persian
4483,1090567, Spanish
4485,1090567,Spanish
4486,1090567,Bosnian
4487,1090567, Persian
4491,1089729,Arabic
4492,1089729, French
4493,1090918,French
4494,1090918, Spanish
4497,1090251,Spanish
4499,1089783,Danish
4501,1090830,Spanish
4503,1090476,Spanish
4505,1090476,Chinese
4506,1090476, Spanish
4508,1090209,Chinese
4509,1090209, Persian
4511,1090881,Persian
4512,1090881, Spanish
4514,1090881,Spanish
4515,1090881, Vietnamese
4516,1089742,Spanish
4518,1089742,Persian
4519,1089742, Korean
4520,1089742,Portuguese
4521,1089742, Spanish
4522,1090177,Spanish
4524,1090177,Persian
4525,1090177, Hebrew
4526,1090862,Spanish
4528,1090862,Arabic
4529,1090862, Persian
4530,1090855,Spanish
4532,1089953,Spanish
4536,1089999,Spanish
4538,1090130,Spanish
4540,1090130,Persian
4541,1090130, Korean
4543,1089637,Spanish
4544,1089903,Spanish
4546,1089903,Persian
4547,1089903, Russian
4548,1089903,Portuguese
4549,1089903, Spanish
4550,1090170,Spanish
4552,1089631,Spanish
4555,1090665,Spanish
4556,1090665,Arabic
4557,1090665, Hindi
4558,1090665, Indian
4559,1089895,Spanish
4561,1089895,Persian
4562,1089895, Korean
4563,1090606,Spanish
4566,1089787,Spanish
4567,1090009,Spanish
4569,1090520,Chinese
4570,1090520, Spanish
4572,1090520,Vietnamese
4573,1090227,Arabic
4574,1090227, Cantonese
4576,1090227,Spanish
4577,1090227, Vietnamese
4579,1090608,Spanish
4581,1090022,Arabic
4582,1090022, Cantonese
4584,1090022, Chinese
4585,1090022,Spanish
4587,1090437,Spanish
4588,1090437,Arabic
4589,1090437, French
4590,1090827,Spanish
4593,1090236,Spanish
4595,1089940,Spanish
4597,1089940,Chinese
4598,1089940, Persian
4599,1089940,Hindi
4600,1089940, Indian
4601,1089940, Punjabi
4602,1089659,Arabic
4603,1089659, Armenian
4605,1089659,Spanish
4606,1090564,Arabic
4607,1090564, Armenian
4610,1090658,Spanish
4612,1089738,Spanish
4615,1089720,Spanish
4616,1089720,German
4617,1089720, Spanish
4618,1089798,Polish
4619,1089798, Spanish
4621,1089798,Spanish
4622,1090393,Spanish
4624,1090393,Arabic
4625,1090393, Armenian
4626,1090393,Gujarati
4627,1090393, Hindi
4628,1090393, Indian
4629,1090393,Hindi
4630,1090393, Spanish
4631,1090967,Spanish
4633,1090677,Korean
4634,1090677, Spanish
4636,1090677,Spanish
4638,1091039,Mandarin
4639,1090211,Korean
4640,1090211, Spanish
4642,1090211,Arabic
4643,1090211, French
4644,1090211, Chinese
4645,1090211,Spanish
4646,1090211, Persian
4647,1090173,Arabic
4648,1090173, French
4650,1090173, Hindi
4651,1090173, Indian
4652,1090173,Spanish
4654,1090778,Russian
4655,1090778, Spanish
4657,1089622,Persian
4658,1089622, Hindi
4659,1089622, Indian
4660,1089622,Portuguese
4661,1089622, Spanish
4662,1089622,Spanish
4663,1091057,Arabic
4664,1091057, Armenian
4667,1090927,Spanish
4669,1090927, Vietnamese
4670,1089932,Swedish
4671,1089932, Spanish
4673,1089932,Spanish
4674,1090660,Chinese
4675,1090660, Persian
4678,1090321,Arabic
4679,1090321, French
4680,1090321,Spanish
4681,1089693, American Sign Language
4682,1090076,French
4683,1090076, Spanish
4685,1090076,Spanish
4687,1090285,Chinese
4688,1090285, German
4690,1090199,Portuguese
4691,1090199, Spanish
4692,1089758,Korean
4693,1089758, Spanish
4695,1089758,Spanish
4696,1090741,Arabic
4697,1090741, Armenian
4699,1090034,Italian
4700,1090034, Polish
4702,1091020,Spanish
4704,1090099,Spanish
4707,1089889,Spanish
4709,1091010,Spanish
4711,1091010,Arabic
4712,1091010, Hindi
4713,1091010, Indian
4716,1090736,Chinese
4717,1090736, Persian
4719,1090736,Spanish
4720,1090736, Vietnamese
4721,1089653,Persian
4722,1089653, German
4724,1089653, Spanish
4725,1091082,Arabic
4726,1091082, Hindi
4727,1091082, Indian
4729,1091082,Spanish
4730,1089877,Spanish
4732,1089877,Persian
4733,1089877, Spanish
4735,1090896,Spanish
4737,1090896,Arabic
4738,1090896, Hindi
4739,1090896, Indian
4740,1090896,Cantonese
4741,1090896, Persian
4742,1089899,Spanish
4744,1089843,Spanish
4746,1090075,Arabic
4747,1090075, French
4750,1089943,Spanish
4751,1090597,Spanish
4753,1090812,Spanish
4755,1089726,Italian
4756,1089726, Polish
4758,1089726,Spanish
4759,1090534,Spanish
4762,1089663,Hebrew
4763,1089663, Italian
4764,1089663,Arabic
4765,1089663, French
4766,1089663,Spanish
4768,1090421,Spanish
4770,1090573,Spanish
4772,1089973,Hindi
4773,1089973, Indian
4774,1089973, Spanish
4776,1089973,Arabic
4777,1089973, Hindi
4778,1089973,Spanish
4780,1090880,Spanish
4781,1090880,Arabic
4782,1090880, Hindi
4783,1090880, Indian
4784,1089620,Spanish
4787,1090070,Spanish
4790,1090717,Persian
4791,1090717, Spanish
4793,1090243,Spanish
4795,1089944,Spanish
4798,1090943,Spanish
4799,1090943, Vietnamese
4800,1091074,Cantonese
4801,1091074, Spanish
4803,1091074,Spanish
4804,1090452,Spanish
